,bite_convert_date ,SpeciesIDDesc,BreedIDDesc,GenderIDDesc,color,victim_zip
40,2009-10-29,CAT,,FEMALE,GRAY,40206
41,2009-12-02,DOG,,MALE,TAN-BRN,40291
42,2009-12-11,DOG,,MALE,BLK-BRN,40272
43,2009-12-21,DOG,,UNKNOWN,BLACK,40218
44,2009-12-24,DOG,,MALE,BRN-WHT,40165
45,2009-12-24,DOG,,UNKNOWN,BLACK,40229
46,2009-12-28,DOG,,UNKNOWN,BLACK,40299
47,2009-12-29,DOG,,FEMALE,WHT-BRN,40291
48,2009-12-30,DOG,,FEMALE,WHITE,40229
49,2009-12-30,DOG,,MALE,BLK-WHT,40218
50,2009-12-30,DOG,,FEMALE,BLK-WHT,40220
51,2009-12-31,DOG,,MALE,WHT-GRAY,40220
52,2009-12-31,CAT,,MALE,WHITE,40220
53,2009-12-31,DOG,,MALE,BRN,40241
54,2010-01-01,DOG,,FEMALE,WHT,40228
55,2010-01-02,DOG,,MALE,BLK-BRN,40291
56,2010-01-02,DOG,,UNKNOWN,,40219
57,2010-01-02,CAT,,FEMALE,,40291
58,2010-01-02,DOG,,UNKNOWN,BLK,40216
59,2010-01-02,DOG,,FEMALE,BRN-WHT,40071
60,2010-01-03,CAT,,UNKNOWN,BLK-WHT,40216
61,2010-01-04,DOG,,FEMALE,BLK,40291
62,2010-01-04,DOG,,MALE,TAN,40031
63,2010-01-05,DOG,,MALE,BLK-TAN,40241
64,2010-01-05,DOG,,FEMALE,BRN,40291
65,2010-01-06,DOG,,UNKNOWN,BLUE,40217
66,2010-01-07,DOG,,FEMALE,TAN,40217
67,2010-01-07,DOG,,MALE,BLK,40219
68,2010-01-07,DOG,,MALE,COPPER-WHT,40222
69,2010-01-08,DOG,,MALE,BLK-WHT,40214
70,2010-01-08,DOG,,FEMALE,WHT-BUFF,40291
71,2010-01-09,DOG,,UNKNOWN,BLK-WHT,40219
72,2010-01-09,CAT,,UNKNOWN,,40272
73,2010-01-09,CAT,,UNKNOWN,BLK,40272
74,2010-01-10,DOG,,UNKNOWN,WHT,40229
75,2010-01-11,DOG,,MALE,BRN,40272
76,2010-01-11,DOG,,MALE,BLK-WHT,40272
77,2010-01-11,DOG,,FEMALE,BRINDLE,40272
78,2010-01-12,DOG,,MALE,BRN-WHT,40214
79,2010-01-12,DOG,,MALE,TRI,40204
80,2010-01-12,DOG,,MALE,BLK,40219
81,2010-01-12,CAT,,UNKNOWN,BLK-WHT,40208
82,2010-01-14,DOG,,UNKNOWN,TAN,40206
83,2010-01-14,DOG,,MALE,YELLOW,40299
84,2010-01-15,DOG,,MALE,BLACK/BROW,40272
85,2010-01-16,CAT,,FEMALE,BLK-WHT,40222
86,2010-01-16,DOG,,MALE,TRI,40219
87,2010-01-16,DOG,,MALE,BLUE,40205
88,2010-01-17,CAT,,MALE,BROWN,40206
89,2010-01-19,DOG,,MALE,BLK,40207
90,2010-01-20,DOG,,MALE,BLK,40223
91,2010-01-21,DOG,,FEMALE,BRN,40223
92,2010-01-22,CAT,,MALE,BLK-WHT,40258
93,2010-01-23,DOG,,UNKNOWN,YELLOW,40208
94,2010-01-24,DOG,,MALE,RED,40245
95,2010-01-25,CAT,,FEMALE,GRAY-TORTI,40208
96,2010-01-25,DOG,,FEMALE,FAWN-WHT,42784
97,2010-01-25,DOG,,FEMALE,BRN-WHT,40165
98,2010-01-26,DOG,,MALE,BROWN-BLK,40206
99,2010-01-27,DOG,,MALE,BLACK,40299
100,2010-01-27,CAT,,UNKNOWN,,40220
101,2010-01-27,DOG,,UNKNOWN,,40291
102,2010-01-27,DOG,,UNKNOWN,YELLOW,40272
103,2010-01-27,DOG,,FEMALE,BRN-BLACK,40229
104,2010-01-28,DOG,,FEMALE,TAN,40218
105,2010-01-28,DOG,,FEMALE,BLK-TAN,40204
106,2010-01-29,DOG,,MALE,BLK-WHT,40210
107,2010-01-29,DOG,,FEMALE,TAN,40291
108,2010-01-30,DOG,,UNKNOWN,,40118
109,2010-01-30,CAT,,FEMALE,BLK,46011
110,2010-01-30,DOG,,MALE,RED-WHT,40218
111,2010-01-30,DOG,,MALE,BLK-TAN,40229
112,2010-01-31,CAT,,MALE,TAN-BRN,40299
113,2010-01-31,DOG,,MALE,B.MERLE-GR,40212
114,2010-01-31,DOG,,MALE,BLK-WHT,40220
115,2010-02-01,DOG,,MALE,BROWN,40215
116,2010-02-01,CAT,,MALE,GRAY-WHT,40291
117,2010-02-01,DOG,,MALE,TAN-WHT,40211
118,2010-02-02,DOG,,MALE,BLONDE,40059
119,2010-02-02,CAT,,UNKNOWN,GRAY-WHITE,40203
120,2010-02-03,DOG,,MALE,BROWN-BLK,40205
121,2010-02-04,DOG,,UNKNOWN,,40229
122,2010-02-04,DOG,,UNKNOWN,BRN-WHT,40228
123,2010-02-05,DOG,,MALE,WHT,40217
124,2010-02-05,DOG,,MALE,BROWN,40229
125,2010-02-05,DOG,,UNKNOWN,,40220
126,2010-02-06,DOG,,MALE,BLK-BRN,40272
127,2010-02-07,DOG,,FEMALE,WHT-BRN,40215
128,2010-02-07,DOG,,MALE,TRI,40228
129,2010-02-09,CAT,,UNKNOWN,BLK-WHT,40203
130,2010-02-09,CAT,,UNKNOWN,GREY,40218
131,2010-02-10,DOG,,UNKNOWN,,40218
132,2010-02-10,DOG,,MALE,GRAY,40214
133,2010-02-10,DOG,,FEMALE,BLK,40204
134,2010-02-10,DOG,,MALE,BLK-WHT,40014
135,2010-02-10,CAT,,FEMALE,BLK-WHT,40207
136,2010-02-11,DOG,,FEMALE,SILVER,40217
137,2010-02-11,DOG,,UNKNOWN,,40229
138,2010-02-11,DOG,,UNKNOWN,,40206
139,2010-02-12,DOG,,MALE,BRN-WHT,40218
140,2010-02-12,CAT,,UNKNOWN,GREY,40208
141,2010-02-12,DOG,,MALE,BLK,40229
142,2010-02-13,CAT,,UNKNOWN,GREY,40242
143,2010-02-14,DOG,,UNKNOWN,BRN,40207
144,2010-02-15,DOG,,UNKNOWN,BLK,40216
145,2010-02-16,DOG,,UNKNOWN,BRN,40272
146,2010-02-16,CAT,,FEMALE,BLK,40217
147,2010-02-16,DOG,,FEMALE,GRAY,40245
148,2010-02-18,DOG,,UNKNOWN,,40217
149,2010-02-18,CAT,,MALE,ORANGE,40229
150,2010-02-18,DOG,,MALE,TRI,40299
151,2010-02-18,DOG,,MALE,BLACK-TAN,40241
152,2010-02-19,DOG,,MALE,WHT,40291
153,2010-02-20,CAT,,FEMALE,WHT-BLK,40241
154,2010-02-20,DOG,,UNKNOWN,BRINDLE-WH,40210
155,2010-02-20,DOG,,UNKNOWN,RED-WHT,40206
156,2010-02-21,CAT,,FEMALE,WHT-BLK,40219
157,2010-02-21,DOG,,FEMALE,WHT-TAN,
158,2010-02-21,DOG,,FEMALE,BLK-TAN,47150
159,2010-02-21,CAT,,UNKNOWN,BRN-WHT,40299
160,2010-02-22,DOG,,UNKNOWN,,40272
161,2010-02-22,DOG,,FEMALE,BRN-WHT,40214
162,2010-02-22,DOG,,UNKNOWN,TAN-WHT,40216
163,2010-02-23,DOG,,UNKNOWN,,40216
164,2010-02-23,DOG,,UNKNOWN,,40220
165,2010-02-23,CAT,,MALE,LT. BR,40047
166,2010-02-25,DOG,,FEMALE,BLK,40241
167,2010-02-25,DOG,,FEMALE,TRI,40258
168,2010-02-25,DOG,,MALE,BRN,40216
169,2010-02-26,DOG,,MALE,WHT-BLK,40059
170,2010-02-26,DOG,,UNKNOWN,,40059
171,2010-02-26,DOG,,FEMALE,BLACK,40059
172,2010-02-26,DOG,,MALE,RED,40206
173,2010-02-26,DOG,,MALE,BLK-BRN,40118
174,2010-02-27,DOG,,MALE,BLK-WHT,40222
175,2010-02-27,CAT,,UNKNOWN,GRAY,40215
176,2010-02-27,DOG,,UNKNOWN,BLONDE,40210
177,2010-02-28,CAT,,FEMALE,GRAY,40222
178,2010-02-28,DOG,,UNKNOWN,,40272
179,2010-02-28,CAT,,UNKNOWN,,40211
180,2010-03-01,BAT,,UNKNOWN,,40219
181,2010-03-01,DOG,,UNKNOWN,,
182,2010-03-01,DOG,,FEMALE,BLK-WHT,40241
183,2010-03-02,CAT,,UNKNOWN,,40203
184,2010-03-03,CAT,,MALE,GRAY-WHT,40118
185,2010-03-05,CAT,,UNKNOWN,ORANGE,40223
186,2010-03-05,DOG,,FEMALE,BR. BRINDL,40215
187,2010-03-05,DOG,,MALE,WHT,40204
188,2010-03-06,DOG,,MALE,TAN,40272
189,2010-03-06,DOG,,MALE,BRN,40220
190,2010-03-06,DOG,,UNKNOWN,BRN-WHT,40203
191,2010-03-06,DOG,,UNKNOWN,BRN,40210
192,2010-03-06,DOG,,UNKNOWN,BLK-TAN,40299
193,2010-03-07,DOG,,FEMALE,YELLOW,40118
194,2010-03-07,DOG,,UNKNOWN,,
195,2010-03-07,DOG,,FEMALE,BLK,40216
196,2010-03-07,DOG,,MALE,BLK-BRN,40243
197,2010-03-07,DOG,,UNKNOWN,BLK-WHT,40206
198,2010-03-08,DOG,,MALE,BRN-WHT,40216
199,2010-03-08,DOG,,MALE,CREAM,40241
200,2010-03-08,DOG,,MALE,BLK-WHT,40208
201,2010-03-08,DOG,,UNKNOWN,WHT,40258
202,2010-03-08,DOG,,MALE,BLK,40222
203,2010-03-08,DOG,,FEMALE,TAN,40211
204,2010-03-09,DOG,,UNKNOWN,,40203
205,2010-03-09,DOG,,UNKNOWN,BLACK,40291
206,2010-03-10,DOG,,UNKNOWN,,40216
207,2010-03-10,DOG,,MALE,TRI,40006
208,2010-03-10,DOG,,FEMALE,BLACK,40223
209,2010-03-10,DOG,,MALE,TAN-WHT,40211
210,2010-03-11,DOG,,FEMALE,TAN,40272
211,2010-03-11,DOG,,UNKNOWN,,40212
212,2010-03-11,CAT,,FEMALE,TRI,40219
213,2010-03-11,CAT,,FEMALE,BLK-WHT,40245
214,2010-03-11,DOG,,FEMALE,CREAM-WHT,40222
215,2010-03-11,DOG,,FEMALE,WHITE,40216
216,2010-03-12,DOG,,UNKNOWN,,40242
217,2010-03-12,DOG,,MALE,TRI,40219
218,2010-03-12,CAT,,UNKNOWN,,40299
219,2010-03-13,DOG,,FEMALE,TRI,40291
220,2010-03-13,DOG,,MALE,WHT,40216
221,2010-03-13,DOG,,MALE,BRN-WHT,40241
222,2010-03-13,DOG,,FEMALE,BRINDLE,40214
223,2010-03-14,DOG,,MALE,BLACK,40299
224,2010-03-16,DOG,,UNKNOWN,,40211
225,2010-03-16,DOG,,MALE,WHITE,40272
226,2010-03-16,DOG,,UNKNOWN,GOLDEN,40272
227,2010-03-17,DOG,,UNKNOWN,BLK-WHT,40272
228,2010-03-17,DOG,,MALE,BLACK,40258
229,2010-03-18,DOG,,UNKNOWN,TAN-WHT,40203
230,2010-03-18,DOG,,UNKNOWN,BLACK-WHT,40219
231,2010-03-19,CAT,,FEMALE,GRAY,40213
232,2010-03-19,CAT,,UNKNOWN,BUFF,40213
233,2010-03-19,DOG,,FEMALE,BROWN-TAN,40218
234,2010-03-19,DOG,,MALE,BLK-TAN,40203
235,2010-03-20,CAT,,UNKNOWN,,40207
236,2010-03-20,DOG,,FEMALE,TRI,40291
237,2010-03-20,DOG,,MALE,BLK,40243
238,2010-03-20,DOG,,MALE,WHT-BLK,87604
239,2010-03-20,DOG,,MALE,WHT-BLK,40243
