,Unnamed: 0,Year/Month,Date Occurred,rate_crime
0,0,2013-01,6198,0.015605604723477646
1,1,2013-02,5251,0.01322120529251067
2,2,2013-03,5866,0.014769680107763776
3,3,2013-04,6330,0.015937960293580754
4,4,2013-05,6835,0.01720947213374794
5,5,2013-06,6839,0.017219543514660155
6,6,2013-07,6938,0.017468810192237484
7,7,2013-08,7211,0.018156181939496183
8,8,2013-09,6663,0.01677640275452268
9,9,2013-10,6820,0.01717170445532713
10,10,2013-11,6057,0.01525058854632206
11,11,2013-12,5880,0.014804929940956531
12,12,2014-01,6212,0.0156408545566704
13,13,2014-02,5073,0.012773028841917087
14,14,2014-03,5983,0.015064267999446075
15,15,2014-04,6165,0.015522515830951872
16,16,2014-05,6856,0.017262346883537068
17,17,2014-06,6952,0.017504060025430236
18,18,2014-07,7288,0.01835005602205633
19,19,2014-08,6999,0.017622398751148766
20,20,2014-09,6874,0.017307668097642042
21,21,2014-10,6833,0.01720443644329183
22,22,2014-11,5954,0.014991250487832513
23,23,2014-12,6082,0.015313534677023403
24,24,2015-01,6373,0.01604622763838707
25,25,2015-02,4868,0.012256870570166051
26,26,2015-03,6209,0.01563330102098624
27,27,2015-04,6453,0.016247655256631376
28,28,2015-05,7313,0.01841300215275767
29,29,2015-06,6744,0.01698034821799504
30,30,2015-07,7203,0.01813603917767175
31,31,2015-08,7151,0.01800511122581295
32,32,2015-09,6647,0.01673611723087382
33,33,2015-10,7109,0.01789936172623469
34,34,2015-11,6547,0.016484332708068438
35,35,2015-12,6817,0.01716415091964297
36,36,2016-01,6693,0.01685193811136429
37,37,2016-02,6115,0.015396623569549182
38,38,2016-03,7223,0.018186396082232825
39,39,2016-04,7352,0.018511198116651768
40,40,2016-05,7268,0.01829969911749525
41,41,2016-06,7033,0.017708005488902598
42,42,2016-07,7242,0.018234235141565847
43,43,2016-08,7080,0.017826344214621127
44,44,2016-09,6810,0.01714652600304659
45,45,2016-10,7164,0.01803784321377765
46,46,2016-11,6528,0.016436493648735413
47,47,2016-12,6928,0.017443631739956944
48,48,2017-01,7221,0.01818136039177672
49,49,2017-02,6090,0.015333677438847832
50,50,2017-03,6359,0.016010977805194313
51,51,2017-04,6605,0.01663036773129556
52,52,2017-05,7321,0.0184331449145821
53,53,2017-06,6930,0.017448667430413053
54,54,2017-07,7345,0.01849357320005539
55,55,2017-08,7006,0.017640023667745145
56,56,2017-09,6606,0.01663288557652361
57,57,2017-10,6562,0.01652210038648924
58,58,2017-11,6545,0.016479297017612332
59,59,2017-12,5546,0.01396396963478655
